,PubChem_pattern,SMARTS,images
565,OC1C(Br)CCCC1,[#8][#6]1[#6]([#35])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/565.png
566,SC1C(S)CCCC1,S[#6]1[#6](S)[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/566.png
567,SC1C(N)CCCC1,S[#6]1[#6]([#7])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/567.png
568,SC1C(Cl)CCCC1,S[#6]1[#6]([#17])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/568.png
569,SC1C(Br)CCCC1,S[#6]1[#6]([#35])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/569.png
570,NC1C(N)CCCC1,[#7][#6]1[#6]([#7])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/570.png
571,NC1C(Cl)CCCC1,[#7][#6]1[#6]([#17])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/571.png
572,NC1C(Br)CCCC1,[#7][#6]1[#6]([#35])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/572.png
573,ClC1C(Cl)CCCC1,[#17][#6]1[#6]([#17])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/573.png
574,ClC1C(Br)CCCC1,[#17][#6]1[#6]([#35])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/574.png
575,BrC1C(Br)CCCC1,[#35][#6]1[#6]([#35])[#6][#6][#6][#6]1,../data/pubchemfp_pattern_images/575.png
576,CC1CC(C)CC1,[#6][#6]1[#6][#6]([#6])[#6][#6]1,../data/pubchemfp_pattern_images/576.png
577,CC1CC(O)CC1,[#6][#6]1[#6][#6]([#8])[#6][#6]1,../data/pubchemfp_pattern_images/577.png
578,CC1CC(S)CC1,[#6][#6]1[#6][#6](S)[#6][#6]1,../data/pubchemfp_pattern_images/578.png
579,CC1CC(N)CC1,[#6][#6]1[#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/579.png
580,CC1CC(Cl)CC1,[#6][#6]1[#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/580.png
581,CC1CC(Br)CC1,[#6][#6]1[#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/581.png
582,OC1CC(O)CC1,[#8][#6]1[#6][#6]([#8])[#6][#6]1,../data/pubchemfp_pattern_images/582.png
583,OC1CC(S)CC1,[#8][#6]1[#6][#6](S)[#6][#6]1,../data/pubchemfp_pattern_images/583.png
584,OC1CC(N)CC1,[#8][#6]1[#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/584.png
585,OC1CC(Cl)CC1,[#8][#6]1[#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/585.png
586,OC1CC(Br)CC1,[#8][#6]1[#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/586.png
587,SC1CC(S)CC1,S[#6]1[#6][#6](S)[#6][#6]1,../data/pubchemfp_pattern_images/587.png
588,SC1CC(N)CC1,S[#6]1[#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/588.png
589,SC1CC(Cl)CC1,S[#6]1[#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/589.png
590,SC1CC(Br)CC1,S[#6]1[#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/590.png
591,NC1CC(N)CC1,[#7][#6]1[#6][#6]([#7])[#6][#6]1,../data/pubchemfp_pattern_images/591.png
592,NC1CC(Cl)CC1,[#7][#6]1[#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/592.png
593,NC1CC(Br)CC1,[#7][#6]1[#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/593.png
594,ClC1CC(Cl)CC1,[#17][#6]1[#6][#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/594.png
595,ClC1CC(Br)CC1,[#17][#6]1[#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/595.png
596,BrC1CC(Br)CC1,[#35][#6]1[#6][#6]([#35])[#6][#6]1,../data/pubchemfp_pattern_images/596.png
597,CC1C(C)CCC1,[#6][#6]1[#6]([#6])[#6][#6][#6]1,../data/pubchemfp_pattern_images/597.png
598,CC1C(O)CCC1,[#6][#6]1[#6]([#8])[#6][#6][#6]1,../data/pubchemfp_pattern_images/598.png
599,CC1C(S)CCC1,[#6][#6]1[#6](S)[#6][#6][#6]1,../data/pubchemfp_pattern_images/599.png
600,CC1C(N)CCC1,[#6][#6]1[#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/600.png
601,CC1C(Cl)CCC1,[#6][#6]1[#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/601.png
602,CC1C(Br)CCC1,[#6][#6]1[#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/602.png
603,OC1C(O)CCC1,[#8][#6]1[#6]([#8])[#6][#6][#6]1,../data/pubchemfp_pattern_images/603.png
604,OC1C(S)CCC1,[#8][#6]1[#6](S)[#6][#6][#6]1,../data/pubchemfp_pattern_images/604.png
605,OC1C(N)CCC1,[#8][#6]1[#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/605.png
606,OC1C(Cl)CCC1,[#8][#6]1[#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/606.png
607,OC1C(Br)CCC1,[#8][#6]1[#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/607.png
608,SC1C(S)CCC1,S[#6]1[#6](S)[#6][#6][#6]1,../data/pubchemfp_pattern_images/608.png
609,SC1C(N)CCC1,S[#6]1[#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/609.png
610,SC1C(Cl)CCC1,S[#6]1[#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/610.png
611,SC1C(Br)CCC1,S[#6]1[#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/611.png
612,NC1C(N)CCC1,[#7][#6]1[#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/612.png
613,NC1C(Cl)CC1,[#7][#6]1[#6]([#17])[#6][#6]1,../data/pubchemfp_pattern_images/613.png
614,NC1C(Br)CCC1,[#7][#6]1[#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/614.png
615,ClC1C(Cl)CCC1,[#17][#6]1[#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/615.png
616,ClC1C(Br)CCC1,[#17][#6]1[#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/616.png
617,BrC1C(Br)CCC1,[#35][#6]1[#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/617.png
